iter	MultiClass
0	1.775848257
1	1.657925298
2	1.532056041
3	1.442147794
4	1.360847328
5	1.290309036
6	1.225733661
7	1.176367313
8	1.100658463
9	1.057146143
10	1.022420744
11	0.9659587848
12	0.936087339
13	0.8958555681
14	0.8541010655
15	0.8229529995
16	0.7918099548
17	0.7597929233
18	0.7320842401
19	0.7049583638
20	0.6831261755
21	0.6579165376
22	0.6379735253
23	0.6194820029
24	0.6018818805
25	0.580191534
26	0.5649605717
27	0.5548681901
28	0.5381740754
29	0.5304784253
30	0.5151417129
31	0.5016132621
32	0.4893057
33	0.4791769821
34	0.4680399099
35	0.4584958464
36	0.4476175581
37	0.4361212834
38	0.4278222277
39	0.4189992802
40	0.4124733305
41	0.4047023103
42	0.3995370276
43	0.3915086803
44	0.3858764901
45	0.380129775
46	0.3751133208
47	0.3686683048
48	0.3632823993
49	0.3573629859
50	0.3506684157
51	0.3450244347
52	0.3398207762
53	0.3352230503
54	0.3313434148
55	0.3262802127
56	0.3231335534
57	0.3194662803
58	0.3146045186
59	0.3106376119
60	0.3068405456
61	0.3023711358
62	0.2995958535
63	0.2955889452
64	0.2919603721
65	0.2894504933
66	0.2866227873
67	0.2835852378
68	0.2810269594
69	0.2787702623
70	0.2758889485
71	0.2737129281
72	0.2717760805
73	0.2696904852
74	0.266878326
75	0.2647081698
76	0.262583624
77	0.2602845164
78	0.2581997658
79	0.2557255806
80	0.2536264428
81	0.2509520422
82	0.2493139055
83	0.2482711831
84	0.2462010443
85	0.2443161416
86	0.2432366155
87	0.2413223737
88	0.2394548536
89	0.2377953383
90	0.2358710307
91	0.2351341059
92	0.2336895999
93	0.2325768519
94	0.2315419143
95	0.2300955346
96	0.2282782243
97	0.2267423749
98	0.225210783
99	0.2236261262
100	0.2225695353
101	0.2211934546
102	0.22069067
103	0.2195560126
104	0.2186284736
105	0.217400145
106	0.2167606957
107	0.2161076702
108	0.2150785312
109	0.2140073087
110	0.213517327
111	0.2124428246
112	0.2113529636
113	0.2104529621
114	0.209917156
115	0.2089803594
116	0.2085547472
117	0.2079457697
118	0.2072706571
119	0.2062143912
120	0.2056762099
121	0.2047441454
122	0.2042707505
123	0.2035527181
124	0.2029362283
125	0.2021059543
126	0.2013769534
127	0.201065654
128	0.2004720976
129	0.1996200171
130	0.1993853551
131	0.1987679484
132	0.1980006715
133	0.1975965252
134	0.1967853345
135	0.196369497
136	0.1961199596
137	0.1952097747
138	0.1946399735
139	0.194167723
140	0.1938581019
141	0.1931768008
142	0.1924013961
143	0.1920035426
144	0.1911663394
145	0.1907932615
146	0.1902621188
147	0.1895561281
148	0.1891141956
149	0.1885400926
150	0.1883773013
151	0.1881311548
152	0.1877475647
153	0.187264244
154	0.1869100618
155	0.1866947692
156	0.1861035382
157	0.1855792102
158	0.1853345152
159	0.1850921901
160	0.1845137856
161	0.1843229666
162	0.1836691762
163	0.1833927739
164	0.1829364274
165	0.1823194098
166	0.1820379787
167	0.1816804673
168	0.1814242965
169	0.1812027005
170	0.1806888167
171	0.1804745431
172	0.1801802996
173	0.1800468432
174	0.1798824922
175	0.1796889735
176	0.1792049375
177	0.178764436
178	0.1784475693
179	0.1782787207
180	0.1778933691
181	0.1775450885
182	0.1773059684
183	0.1768953892
184	0.1765196181
185	0.1760929214
186	0.1755879357
187	0.1753797364
188	0.1752182842
189	0.175042213
190	0.1748868273
191	0.1744829675
192	0.1741775568
193	0.1739240997
194	0.173696724
195	0.1735764191
196	0.1732441233
197	0.1730060306
198	0.17281858
199	0.1725435035
200	0.1723390453
201	0.1720255903
202	0.1717621356
203	0.1714622878
204	0.1713218414
205	0.1711185409
206	0.1709830767
207	0.1706721057
208	0.1705586098
209	0.1703877725
210	0.1697925692
211	0.1695750445
212	0.1694001951
213	0.1693108934
214	0.1691027011
215	0.1688525124
216	0.1687461441
217	0.1685631809
218	0.1684600225
219	0.1682928402
220	0.1681213666
221	0.1678670209
222	0.1677269494
223	0.1676101521
224	0.1674956042
225	0.1673502077
226	0.1671683923
227	0.1670314937
228	0.1667208825
229	0.1665700453
230	0.1663365306
231	0.1661269538
232	0.1658743651
233	0.1656734511
234	0.1654122011
235	0.1651281556
236	0.1647814808
237	0.1645652615
238	0.1643889979
239	0.1641437016
240	0.1639204197
241	0.163602652
242	0.1635216041
243	0.163391818
244	0.1631756867
245	0.1631080165
246	0.1628813458
247	0.1625669917
248	0.1624018989
249	0.1622064274
250	0.1620643612
251	0.1620007152
252	0.1619424164
253	0.1617820867
254	0.1616587577
255	0.1615108283
256	0.1613666569
257	0.1612624249
258	0.1611699421
259	0.1610219572
260	0.1608596475
261	0.1606733026
262	0.1606089013
263	0.1603098488
264	0.1601769179
265	0.1599745965
266	0.1599478336
267	0.1596366096
268	0.1594282459
269	0.1592082686
270	0.1591564526
271	0.1588448592
272	0.1587554769
273	0.158653122
274	0.1584195113
275	0.1582938703
276	0.1581708606
277	0.1579671186
278	0.1578948919
279	0.1577571029
280	0.1577053985
281	0.157595428
282	0.1574678354
283	0.1573794887
284	0.1572419194
285	0.1571059708
286	0.1568616181
287	0.1567349839
288	0.1566732212
289	0.156563213
290	0.1564481117
291	0.1563671837
292	0.1562571961
293	0.1561768282
294	0.1561000637
295	0.1559649416
296	0.1558498306
297	0.1556374059
298	0.1555991678
299	0.15546154
300	0.1553038541
301	0.1551974367
302	0.1550685254
303	0.1550160592
304	0.155001301
305	0.154924175
306	0.1547960189
307	0.1546409224
308	0.1545647238
309	0.1544074982
310	0.1542226625
311	0.1541326368
312	0.1540634806
313	0.1539470039
314	0.1538419184
315	0.1538061261
316	0.1536699928
317	0.1535943478
318	0.1533569982
319	0.1533059785
320	0.1531366761
321	0.1530586146
322	0.1529929376
323	0.1529696951
324	0.1528251726
325	0.1526973478
326	0.1526249986
327	0.1525612303
328	0.1523507754
329	0.1521925688
330	0.1521573509
331	0.1521190649
332	0.1519936108
333	0.151886366
334	0.1518385905
335	0.1518110369
336	0.1516968689
337	0.1515804003
338	0.1514806724
339	0.1514064217
340	0.1511597154
341	0.1509455997
342	0.1508623793
343	0.1507437443
344	0.1506984797
345	0.1505772557
346	0.1504950103
347	0.1504190578
348	0.1503194994
349	0.1502125063
350	0.1501204548
351	0.1500915637
352	0.1499897486
353	0.1498764844
354	0.1498095881
355	0.1497445761
356	0.1496857206
357	0.149616784
358	0.1496070694
359	0.1494786394
360	0.149376993
361	0.1493259497
362	0.1491509614
363	0.1490736598
364	0.1489982023
365	0.1489907628
366	0.148958717
367	0.1487937082
368	0.1487345444
369	0.1486569783
370	0.1485960949
371	0.1485422757
372	0.1484604139
373	0.148369566
374	0.1483021776
375	0.148172113
376	0.1481265986
377	0.1480762521
378	0.1480514352
379	0.1479668643
380	0.1479175009
381	0.1478158218
382	0.1477573978
383	0.1477102571
384	0.1476649122
385	0.1475345145
386	0.147470385
387	0.1474005652
388	0.1473706791
389	0.1473064777
390	0.1471362568
391	0.1470616456
392	0.1469440716
393	0.14690628
394	0.1467393342
395	0.1467049923
396	0.1466734507
397	0.1465804864
398	0.1465572457
399	0.1465078568
400	0.1464656097
401	0.146415891
402	0.1463162959
403	0.1462258708
404	0.1461761374
405	0.1461173751
406	0.146056541
407	0.1459124246
408	0.145832446
409	0.1458151135
410	0.1457516549
411	0.1456853244
412	0.1456173185
413	0.145562911
414	0.1454739623
415	0.1454156836
416	0.1453658059
417	0.1453380048
418	0.1452580997
419	0.1451901141
420	0.1450328156
421	0.1449875003
422	0.144924404
423	0.1448645138
424	0.1447884509
425	0.1447626508
426	0.1447266367
427	0.1446978339
428	0.1444967127
429	0.1444219123
430	0.1443888396
431	0.1443063833
432	0.1442707871
433	0.1442487685
434	0.1441958336
435	0.1441714854
436	0.1440419608
437	0.1440122749
438	0.1439453726
439	0.1439074692
440	0.1438745771
441	0.1438544933
442	0.1437958913
443	0.143702254
444	0.1436761648
445	0.1435956984
446	0.143546132
447	0.1434947259
448	0.1434049031
449	0.1433387027
450	0.1432569879
451	0.1431823324
452	0.1431208334
453	0.1430149424
454	0.1429308584
455	0.1428519284
456	0.1428002058
457	0.1427514265
458	0.1426807933
459	0.1426309154
460	0.1426082782
461	0.1425892106
462	0.1424734123
463	0.1424389382
464	0.1423913984
465	0.1422954293
466	0.1422643472
467	0.1422283934
468	0.1422012952
469	0.1421711878
470	0.1421503225
471	0.1420988158
472	0.1420633757
473	0.1420290984
474	0.141981513
475	0.1418679071
476	0.1418103162
477	0.1417176219
478	0.1417106524
479	0.1416868212
480	0.1416550156
481	0.1415975625
482	0.1415207724
483	0.141501954
484	0.1414036443
485	0.1413781081
486	0.1412912734
487	0.1412290672
488	0.1412034167
489	0.141176935
490	0.1411440039
491	0.1410512151
492	0.1410167094
493	0.1409805315
494	0.1409727319
495	0.1409255744
496	0.1409076277
497	0.1408032782
498	0.1407429274
499	0.1406856082
500	0.1406439699
501	0.1405282594
502	0.1404889815
503	0.1404823112
504	0.1404581776
505	0.1404116027
506	0.1403737446
507	0.1403496288
508	0.1402121871
509	0.1401182939
510	0.1399876276
511	0.1399145697
512	0.1398599637
513	0.1397712805
514	0.1397230278
515	0.139652473
516	0.1395910015
517	0.1395185464
518	0.1394986579
519	0.1394474305
520	0.1393997554
521	0.139382296
522	0.139320338
523	0.1391534855
524	0.1390979222
525	0.1390701696
526	0.1390061885
527	0.1389743448
528	0.138966852
529	0.1388510539
530	0.138743998
531	0.1387179761
532	0.13864527
533	0.1386170544
534	0.1385909194
535	0.1385371761
536	0.1384152829
537	0.1383531088
538	0.1382986031
539	0.1381254204
540	0.1381114764
541	0.1380806948
542	0.1380491002
543	0.138000302
544	0.1379710877
545	0.1379275757
546	0.1378950217
547	0.1378482393
548	0.1378161267
549	0.1377906225
550	0.1377796331
551	0.137760101
552	0.1377339423
553	0.1377091139
554	0.1376921893
555	0.137656881
556	0.1375921316
557	0.1375502514
558	0.1374839333
559	0.1374060324
560	0.1372485847
561	0.1371791423
562	0.1371525915
563	0.1371155865
564	0.1370760733
565	0.1370081499
566	0.1369720896
567	0.1369506629
568	0.1369358784
569	0.1368797957
570	0.1368618796
571	0.1368401741
572	0.1368251138
573	0.1367486786
574	0.136688223
575	0.1365760186
576	0.1365699616
577	0.1365087993
578	0.1364839371
579	0.1364581572
580	0.1364425542
581	0.1364040633
582	0.1363787027
583	0.1363706405
584	0.1363292052
585	0.1362856104
586	0.1362465313
587	0.1362213971
588	0.1360969042
589	0.136086405
590	0.1360388134
591	0.1359821519
592	0.1359422686
593	0.1359069758
594	0.1358843395
595	0.1358391403
596	0.1358034169
597	0.1357228962
598	0.1356650429
599	0.1356242555
600	0.1356167532
601	0.1355800027
602	0.1355572703
603	0.1355261089
604	0.1354437271
605	0.1354171928
606	0.1353520121
607	0.13530833
608	0.1352882748
609	0.1352497756
610	0.1352293813
611	0.1351908722
612	0.1351713349
613	0.1351267226
614	0.1350882579
615	0.134988639
616	0.1349537819
617	0.1348131169
618	0.1347971292
619	0.1347521366
620	0.1347444025
621	0.1347322345
622	0.134696591
623	0.1346492903
624	0.1346139959
625	0.1345755296
626	0.1345300354
627	0.1344905852
628	0.1344710449
629	0.1344025159
630	0.1343326079
631	0.1343090242
632	0.1341470992
633	0.1340717149
634	0.1339855984
635	0.1339466875
636	0.1339036566
637	0.1338701032
638	0.1337577086
639	0.1336699643
640	0.1336496569
641	0.1336397202
642	0.1336253195
643	0.1335909278
644	0.1335211563
645	0.1334806193
646	0.1334340198
647	0.1334207368
648	0.1333063928
649	0.1332651468
650	0.1332494416
651	0.1332264259
652	0.1331457937
653	0.1330970112
654	0.1330570068
655	0.1330162421
656	0.1330103267
657	0.1329421891
658	0.1329006533
659	0.1328655673
660	0.1328473058
661	0.1328349147
662	0.1328225452
663	0.1327967551
664	0.132786849
665	0.1327665033
666	0.1327398734
667	0.1327268201
668	0.1326913622
669	0.1326741542
670	0.1326279541
671	0.1325969939
672	0.1325645963
673	0.1325266693
674	0.1324814364
675	0.1324282442
676	0.1324083615
677	0.1323839839
678	0.1323533699
679	0.1323390388
680	0.132288658
681	0.1322699398
682	0.1322336714
683	0.1322026316
684	0.1321652224
685	0.132116492
686	0.1320815655
687	0.1320626348
688	0.1320234967
689	0.1320050814
690	0.1319917362
691	0.1319398792
692	0.1319175783
693	0.1318690484
694	0.1318220229
695	0.1317918668
696	0.1317759191
697	0.1317492278
698	0.1317161544
699	0.131709391
700	0.1316741394
701	0.131630702
702	0.1316078227
703	0.1315948148
704	0.1315781979
705	0.1315491869
706	0.1315404012
707	0.1315028915
708	0.1314634086
709	0.13143395
710	0.1313488096
711	0.1313321047
712	0.1312914816
713	0.1312396133
714	0.1312110057
715	0.1312045399
716	0.1311891088
717	0.1311497615
718	0.1311289141
719	0.1311144739
720	0.1310673956
721	0.1310462222
722	0.1310207381
723	0.1309961126
724	0.1309765805
725	0.1309213352
726	0.1308976371
727	0.1308517407
728	0.1308423579
729	0.1308047077
730	0.1307969563
731	0.1307854134
732	0.1307741195
733	0.1307355753
734	0.1307133902
735	0.1306759389
736	0.1306582177
737	0.1306421849
738	0.1306096077
739	0.1305969752
740	0.1305498894
741	0.1305328846
742	0.1304805632
743	0.130461447
744	0.1304460376
745	0.1304045876
746	0.1303746645
747	0.1303586473
748	0.1303269539
749	0.1303110096
750	0.1303019571
751	0.1302438328
752	0.1301623343
753	0.1301485858
754	0.1300957629
755	0.1300629481
756	0.1300038758
757	0.1299940714
758	0.1299674409
759	0.1299349432
760	0.1299152888
761	0.1298396601
762	0.1298237067
763	0.1297975514
764	0.1297661287
765	0.1297431514
766	0.1296758065
767	0.1296545846
768	0.1296402203
769	0.1295841791
770	0.1295734913
771	0.1295464859
772	0.1295339936
773	0.1295108865
774	0.1294600244
775	0.1294167724
776	0.1294053736
777	0.1293655127
778	0.1293499698
779	0.1293342617
780	0.1293182456
781	0.1292642187
782	0.12923771
783	0.1291674111
784	0.129133631
785	0.1291002448
786	0.1290881661
787	0.1290750684
788	0.129056088
789	0.1290343628
790	0.128986146
791	0.1289624129
792	0.1288874781
793	0.1288127197
794	0.1287972717
795	0.1287780906
796	0.128757552
797	0.1287358832
798	0.1287022823
799	0.1286740559
800	0.128644717
801	0.1285789702
802	0.128570689
803	0.128550167
804	0.1285150873
805	0.1284901871
806	0.1284419822
807	0.1284151114
808	0.1284075593
809	0.1283881529
810	0.1283737884
811	0.128351828
812	0.1283403684
813	0.1282942188
814	0.1282737347
815	0.128256428
816	0.1282522755
817	0.1282345332
818	0.1282180025
819	0.1281747563
820	0.1281602643
821	0.1281370986
822	0.1281284784
823	0.1281137475
824	0.1280986673
825	0.1280907331
826	0.1280329913
827	0.1279933533
828	0.1279726736
829	0.1279624061
830	0.1279141357
831	0.1279010236
832	0.1278838709
833	0.1278488892
834	0.1278179073
835	0.1277994795
836	0.1277739293
837	0.1276869681
838	0.1276679023
839	0.1276059776
840	0.1275879021
841	0.1275717037
842	0.1275410929
843	0.1274984836
844	0.1274859797
845	0.127477883
846	0.127419404
847	0.1273969179
848	0.1273849585
849	0.1273754713
850	0.1273597266
851	0.1273544926
852	0.1273394973
853	0.1273272725
854	0.1272971725
855	0.1272706317
856	0.1272267013
857	0.127165285
858	0.1271529143
859	0.1271371024
860	0.1271066282
861	0.1270959097
862	0.1270885483
863	0.1270812052
864	0.1270595235
865	0.1270477083
866	0.1270276049
867	0.1270005038
868	0.12697216
869	0.1269557938
870	0.1269488718
